Episode,Reward
0,-127.41262679884149
1,-296.3769988442905
2,-557.597639269175
3,-510.1122934256003
4,-293.2446284529076
5,-76.03919396457181
6,-71.01734835422407
7,-118.86610045749912
8,-114.05348131739444
9,-115.57810389314886
10,-134.0042923785091
11,-329.5891273671938
12,-89.02067057100086
13,-430.52494305871016
14,-240.56700640269355
15,-117.39944152016237
16,-135.70390429424197
17,-170.62543804660376
18,-127.48628041887274
19,-66.60481352780938
20,-125.44927862705714
21,-106.36270256539584
22,3.088357842526591
23,-76.0496596355644
24,-2.934586835888382
25,-18.32854678300548
26,-51.609518595263246
27,-68.99541967815816
28,-106.60396183353454
29,-50.42114125671327
30,11.59230343987663
31,-83.65124691742008
32,-18.094766891257038
33,-3.51052983031839
34,-64.34052118009922
35,-23.402580346051195
36,256.27406845432046
37,22.558958957702828
38,-35.68363358274959
39,22.144365911451885
40,-32.3680513972195
41,-14.015654604375769
42,-36.98886994050565
43,-55.264119992243664
44,-71.59819458686583
45,-23.958512171129385
46,-53.21835683161598
47,25.93986892005347
48,-4.448442635981834
49,-66.7303359919307
50,14.100391655881737
51,-16.824401464705787
52,25.807452852546234
53,-35.5826970356205
54,10.487755414101656
55,-81.96939550035367
56,32.43377672704685
57,5.225935130833506
58,7.398813923616871
59,-37.33623614655038
60,-21.308105569037238
61,302.1252893581626
62,-12.697481737253582
63,284.58199379111556
64,55.95560027045363
65,212.51602588034342
66,229.32149336043346
67,263.9513072326412
68,-108.80264907160031
69,-56.032326281284384
70,-202.9512258663917
71,131.1678608694305
72,196.0814224337435
73,244.66034660161753
74,-33.92261196105251
75,-62.17374302391251
76,-39.572114127759114
77,-80.49032847619685
78,274.0803773953882
79,-89.21009750812215
80,-123.52752012481
81,263.21262208145913
82,-140.02539483570888
83,-53.643780821517794
84,-70.84866660944314
85,59.12695774901517
86,-71.26718383362469
87,141.52846300404977
88,-21.79939355149654
89,213.68649222248308
90,11.813812410258503
91,178.0327073303602
92,-59.064972249420265
93,-50.731483590059845
94,262.4447783800699
95,-45.742775639701776
96,7.761465899673638
97,-7.960291858827074
98,-14.380527243568189
99,20.82471822788805
100,10.338499497857946
101,29.116082625246133
102,-136.01291925709398
103,7.218382471670012
104,-19.668593757195442
105,153.06822836738388
106,160.60301901850355
107,-41.444609304127184
108,21.39181689835713
109,-18.248920239297096
110,-94.63190798846274
111,23.336105723201943
112,2.4720754555408524
113,-53.338493738613444
114,-191.25450750325274
115,-43.381202387344366
116,-38.94557829760929
117,5.254798685673159
118,13.202965392465542
119,-42.580004182486455
120,-13.637744303958348
121,-16.975454826989257
122,2.4365149432211837
123,-40.035483374708456
124,-1.110759910747375
125,-32.20476643297531
126,7.857726135979008
127,-27.72546040160928
128,-17.12979308264807
129,-24.09872904700712
130,-21.380207860885946
131,14.22294055664462
132,-38.9195415468738
133,159.324836164102
134,-37.857280435736044
135,149.57873413780055
136,34.74365774948678
137,5.68666545548754
138,128.97022571037004
139,-44.160323079787425
140,-6.266672716043227
141,5.397442468903037
142,-21.44684195757403
143,24.99438019466698
144,5.162876119572046
145,13.124755074701294
146,-25.145520351056266
147,-49.62851073694629
148,-9.302369172462305
149,-38.61851091533631
150,273.79066626166207
151,-35.496575624556414
152,-8.148473618034208
153,-16.363760931744753
154,-19.64507432142441
155,-28.24669313839585
156,-0.23464345922351826
157,-11.076525489702398
158,43.61112809618342
159,-8.650032375110108
160,-31.49571562467119
161,14.79788886956057
162,-16.161673509091646
163,-5.334647848923821
164,-24.132807080925783
165,194.49425232058667
166,-48.30950572501556
167,266.2356289230929
168,-14.134852826160193
169,0.1315689462020655
170,112.83965488040789
171,219.53271442362296
172,199.05823956178418
173,172.17236986417717
174,255.50687748731377
175,184.71587663678707
176,183.74126153376858
177,305.93633457271375
178,191.5807657702568
179,191.91865788680707
180,220.97899962045386
181,194.23224737042796
182,217.22542536374795
183,232.1890341831381
184,219.59913497407018
185,247.8740285914275
186,226.30269645868316
187,219.79074911224768
188,267.3316847470593
189,220.49928512210386
190,254.827398855381
191,247.51321450658804
192,228.10881117507253
193,246.31318155301332
194,223.1531592729916
195,179.5328529548961
196,245.67683783787854
197,233.8909496395497
198,241.17994313950095
199,242.1029947476655
200,210.5929834923402
201,236.21097664400475
202,291.2579460468053
203,219.56236779045972
204,236.08773466246447
205,253.58121723310853
206,193.65336392529852
207,212.19642894708306
208,301.3946209487267
209,212.78411572775644
210,222.29954816469836
211,252.74962017819382
212,219.65941491880974
213,192.80688483483854
214,230.11683927616414
215,212.36949680718274
216,193.5134056091465
217,224.62938270659134
218,228.32671412987975
219,188.99955275693515
220,243.16014408165174
221,253.75973019282787
222,265.6783859632409
223,277.6917118531907
224,236.98826659134397
225,271.51733308577036
226,65.9129537469152
227,228.3675632758866
228,271.0094904937225
229,276.3213210955174
230,279.41757894741187
231,279.9002725948931
232,288.46507094517233
233,246.27703184913722
234,273.34110219503543
235,270.10872249171035
236,31.509315130760427
237,261.9927346831414
238,280.12138303593713
239,246.98568040452557
240,7.860031720795064
241,251.53082748464155
242,288.1742555184529
243,283.56870124368317
244,248.22981933544062
245,289.7444626753387
246,258.0555722625104
247,42.0877903735574
248,10.747221761162763
249,263.8484796307944
250,252.6437112366138
251,9.532008496022627
252,261.4179043535622
253,145.44819162072403
254,247.6818250748069
255,322.82799945395345
256,269.0892006762108
257,168.37318128140947
258,237.71794230803664
259,288.2710226470755
260,262.9450590064894
261,286.9299540468518
262,42.19392715402009
263,116.90834451786974
264,310.0515503440351
265,280.0996289831526
266,280.241770134699
267,256.1769277811705
268,64.01333095067977
269,257.8271060906269
270,186.70416703323338
271,41.49406619924065
272,27.38640184450992
273,262.8977548282787
274,284.65830604604207
275,47.49090530683722
276,276.7678186928157
277,24.092752847090296
278,266.17028789075164
279,287.1419296995306
280,19.315327244682123
281,275.39481192751134
282,249.09102231553038
283,2.895600355398173
284,257.4227510164285
285,236.87915108249746
286,50.40944673990211
287,260.9811080066312
288,264.73805231437257
289,242.92592669440285
290,36.00596556714811
291,270.66610081974585
292,-3.5629484122017345
293,267.89673553753835
294,282.6437622359317
295,266.07895205932834
296,20.910463888365655
297,247.65196609685563
298,251.8517158552562
299,245.53666715655487
300,244.40183837959037
301,280.8863081554386
302,271.39195598965375
303,-1.324031873176608
304,252.74213290652952
305,237.34462256175706
306,57.7880575066051
307,-8.405036584939012
308,10.155231188838243
309,264.9777704015369
310,280.24717008138987
311,292.72252865924213
312,41.04329336299372
313,285.73198025250633
314,32.50260709585777
315,272.7657076120357
316,296.85103310279055
317,256.6363104434353
318,261.2333516220656
319,43.09323263965089
320,277.2279118882417
321,292.15459098202183
322,278.978270630991
323,65.58208879494691
324,58.63285403976235
325,49.14866261872908
326,290.04590580463037
327,296.1066379705436
328,252.26370544688993
329,293.47115527433834
330,283.981923407984
331,13.18980127093441
332,283.23868691974553
333,279.9850265414228
334,18.19303439383212
335,77.63679250458543
336,260.4243232591663
337,300.34923484193587
338,64.39693019213414
339,249.79257247232096
340,97.06823118406251
341,249.78882485206805
342,59.68058214184617
343,264.4020576828291
344,6.319057983250758
345,303.56917100614055
346,254.64170899450662
347,78.50027767612366
348,49.73911664806093
349,291.9673559912589
350,300.41469864691976
351,255.4873789873007
352,69.94206204892006
353,286.04129975988286
354,278.1837119094081
355,78.2998633800276
356,260.71460806287223
357,251.86538214642977
358,276.17576790657415
359,274.4425564772923
360,266.23569341238067
361,31.633407591469563
362,326.79441137282527
363,59.54267180087186
364,302.8978090203305
365,289.40445515431793
366,267.4302292409939
367,50.11431621779789
368,293.64582912576554
369,263.88749294864317
370,293.29390410911026
371,45.626470787734974
372,268.37150088792214
373,297.62189518374294
